encabezado_evt_hist
ciclo,nodo,evento,desde,probabilidad,patch_lv,infectados_total,intencion,escenario
28,S1PC3,Infeccion_Exitosa,S1PC2,0.35,14,16,spread,E1 - Real 2017
28,S1PC1,Infeccion_Exitosa,sw1,0.35,15,6,spread,E1 - Real 2017
28,S1PC4,Infeccion_Exitosa,S1PC3,0.35,14,17,spread,E1 - Real 2017
29,S1PC5,Infeccion_Exitosa,S1PC4,0.35,6,18,spread,E1 - Real 2017
29,S2PC5,Infeccion_Exitosa,S2PC4,0.35,6,10,spread,E1 - Real 2017
29,S2PC3,Infeccion_Exitosa,S2PC2,0.35,9,7,spread,E1 - Real 2017
29,S1PC6,Infeccion_Exitosa,S1PC5,0.35,5,19,spread,E1 - Real 2017
79,S1PC18,Infeccion_Exitosa,S1PC17,0.35,6,29,spread,E1 - Real 2017
79,S1PC19,Infeccion_Exitosa,S1PC18,0.35,7,30,spread,E1 - Real 2017
79,S1PC20,Infeccion_Exitosa,S1PC19,0.35,6,31,spread,E1 - Real 2017
30,S1PC2,Infeccion_Exitosa,S1PC1,0.35,15,8,spread,E1 - Real 2017
30,S1PC3,Infeccion_Exitosa,S1PC2,0.35,12,9,spread,E1 - Real 2017
30,S2PC6,Infeccion_Exitosa,S2PC5,0.35,15,11,spread,E1 - Real 2017
32,sw1,AISLADO,-,-,51,19,isolated,E1 - Real 2017
32,S2PC4,Infeccion_Exitosa,S2PC3,0.35,14,10,spread,E1 - Real 2017
32,S2PC7,Infeccion_Exitosa,S2PC6,0.35,12,12,spread,E1 - Real 2017
82,S2PC11,Infeccion_Exitosa,S2PC30,0.35,11,29,spread,E1 - Real 2017
33,S1PC7,Infeccion_Exitosa,S1PC6,0.35,8,20,spread,E1 - Real 2017
33,S2PC11,Infeccion_Exitosa,S2PC30,0.35,11,21,spread,E1 - Real 2017
83,S1PC1,Aislamiento_Contencion,Global,0.0,15,29,isolated,E1 - Real 2017
83,S1PC2,Aislamiento_Contencion,Global,0.0,13,29,isolated,E1 - Real 2017
83,S1PC3,Aislamiento_Contencion,Global,0.0,8,29,isolated,E1 - Real 2017
83,S1PC4,Aislamiento_Contencion,Global,0.0,12,29,isolated,E1 - Real 2017
83,S2PC9,Infeccion_Exitosa,S2PC8,0.35,14,32,spread,E1 - Real 2017
83,S1PC5,Aislamiento_Contencion,Global,0.0,9,29,isolated,E1 - Real 2017
83,S1PC6,Aislamiento_Contencion,Global,0.0,14,29,isolated,E1 - Real 2017
83,S1PC7,Aislamiento_Contencion,Global,0.0,12,29,isolated,E1 - Real 2017
83,S1PC8,Aislamiento_Contencion,Global,0.0,5,29,isolated,E1 - Real 2017
83,S1PC9,Aislamiento_Contencion,Global,0.0,9,29,isolated,E1 - Real 2017
83,S1PC10,Aislamiento_Contencion,Global,0.0,14,29,isolated,E1 - Real 2017
83,S1PC11,Aislamiento_Contencion,Global,0.0,12,29,isolated,E1 - Real 2017
83,S1PC12,Aislamiento_Contencion,Global,0.0,15,29,isolated,E1 - Real 2017
83,S1PC13,Aislamiento_Contencion,Global,0.0,6,29,isolated,E1 - Real 2017
83,S1PC14,Aislamiento_Contencion,Global,0.0,11,29,isolated,E1 - Real 2017
83,S1PC15,Aislamiento_Contencion,Global,0.0,12,29,isolated,E1 - Real 2017
83,sw1,Aislamiento_Contencion,Global,0.0,51,29,isolated,E1 - Real 2017
83,fw1,Aislamiento_Contencion,Global,0.0,51,29,isolated,E1 - Real 2017
83,S2PC1,Aislamiento_Contencion,Global,0.0,6,29,isolated,E1 - Real 2017
83,S2PC2,Aislamiento_Contencion,Global,0.0,15,29,isolated,E1 - Real 2017
83,S2PC3,Aislamiento_Contencion,Global,0.0,15,29,isolated,E1 - Real 2017
83,S2PC4,Aislamiento_Contencion,Global,0.0,11,29,isolated,E1 - Real 2017
83,S2PC5,Aislamiento_Contencion,Global,0.0,7,29,isolated,E1 - Real 2017
83,S2PC6,Aislamiento_Contencion,Global,0.0,15,29,isolated,E1 - Real 2017
83,S2PC7,Aislamiento_Contencion,Global,0.0,12,29,isolated,E1 - Real 2017
83,S2PC8,Aislamiento_Contencion,Global,0.0,9,29,isolated,E1 - Real 2017
83,S2PC9,Aislamiento_Contencion,Global,0.0,10,29,isolated,E1 - Real 2017
83,S2PC30,Aislamiento_Contencion,Global,0.0,7,29,isolated,E1 - Real 2017
83,S2PC11,Aislamiento_Contencion,Global,0.0,11,29,isolated,E1 - Real 2017
34,S1PC8,Infeccion_Exitosa,S1PC7,0.35,9,22,spread,E1 - Real 2017
34,S2PC12,Infeccion_Exitosa,S2PC11,0.35,10,23,spread,E1 - Real 2017
84,-,ALERTA_CRITICA,-,-,-,32,-,E1 - Real 2017
84,S1PC1,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
84,S1PC2,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
84,S1PC3,AISLADO_EMERGENCIA,-,-,11,32,isolated,E1 - Real 2017
84,S1PC4,AISLADO_EMERGENCIA,-,-,13,32,isolated,E1 - Real 2017
84,S1PC5,AISLADO_EMERGENCIA,-,-,5,32,isolated,E1 - Real 2017
84,S1PC6,AISLADO_EMERGENCIA,-,-,8,32,isolated,E1 - Real 2017
84,S1PC7,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
84,S1PC8,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
84,S1PC9,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
84,S1PC10,AISLADO_EMERGENCIA,-,-,9,32,isolated,E1 - Real 2017
84,S1PC11,AISLADO_EMERGENCIA,-,-,8,32,isolated,E1 - Real 2017
84,S1PC12,AISLADO_EMERGENCIA,-,-,13,32,isolated,E1 - Real 2017
84,S1PC13,AISLADO_EMERGENCIA,-,-,9,32,isolated,E1 - Real 2017
84,S1PC14,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
84,S1PC15,AISLADO_EMERGENCIA,-,-,13,32,isolated,E1 - Real 2017
84,S1PC16,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
84,S1PC17,AISLADO_EMERGENCIA,-,-,9,32,isolated,E1 - Real 2017
84,sw1,AISLADO_EMERGENCIA,-,-,50,32,isolated,E1 - Real 2017
84,fw1,AISLADO_EMERGENCIA,-,-,21,32,isolated,E1 - Real 2017
84,S1PC18,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
84,S1PC19,AISLADO_EMERGENCIA,-,-,7,32,isolated,E1 - Real 2017
84,S1PC20,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
84,S2PC1,AISLADO_EMERGENCIA,-,-,5,32,isolated,E1 - Real 2017
84,S2PC2,AISLADO_EMERGENCIA,-,-,9,32,isolated,E1 - Real 2017
84,S2PC3,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
84,S2PC4,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
84,S2PC5,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
84,S2PC6,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
84,S2PC7,AISLADO_EMERGENCIA,-,-,9,32,isolated,E1 - Real 2017
84,S2PC8,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
84,S2PC9,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
84,S2PC30,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
84,S2PC11,AISLADO_EMERGENCIA,-,-,11,32,isolated,E1 - Real 2017
84,S2PC12,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
84,S2PC33,AISLADO_EMERGENCIA,-,-,11,32,isolated,E1 - Real 2017
84,S2PC14,AISLADO_EMERGENCIA,-,-,13,32,isolated,E1 - Real 2017
84,S2PC35,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
84,S2PC36,AISLADO_EMERGENCIA,-,-,8,32,isolated,E1 - Real 2017
35,S1PC4,Infeccion_Exitosa,S1PC3,0.35,15,11,spread,E1 - Real 2017
35,S1PC5,Infeccion_Exitosa,S1PC4,0.35,8,12,spread,E1 - Real 2017
35,S1PC9,Infeccion_Exitosa,S1PC8,0.35,14,24,spread,E1 - Real 2017
36,S1PC10,Infeccion_Exitosa,S1PC9,0.35,10,25,spread,E1 - Real 2017
36,S2PC8,Infeccion_Exitosa,S2PC7,0.35,7,13,spread,E1 - Real 2017
37,S2PC5,Infeccion_Exitosa,S2PC4,0.35,12,13,spread,E1 - Real 2017
38,S2PC9,Infeccion_Exitosa,S2PC8,0.35,6,14,spread,E1 - Real 2017
38,S2PC30,Infeccion_Exitosa,S2PC9,0.35,6,15,spread,E1 - Real 2017
39,S1PC3,Infeccion_Exitosa,S1PC2,0.35,10,15,spread,E1 - Real 2017
39,S1PC6,Infeccion_Exitosa,S1PC5,0.35,15,14,spread,E1 - Real 2017
39,S1PC7,Infeccion_Exitosa,S1PC6,0.35,10,15,spread,E1 - Real 2017
39,S1PC8,Infeccion_Exitosa,S1PC7,0.35,13,16,spread,E1 - Real 2017
40,S1PC9,Infeccion_Exitosa,S1PC8,0.35,12,17,spread,E1 - Real 2017
42,S2PC6,Infeccion_Exitosa,S2PC5,0.35,5,18,spread,E1 - Real 2017
44,S1PC11,Infeccion_Exitosa,S1PC10,0.35,5,26,spread,E1 - Real 2017
44,S2PC7,Infeccion_Exitosa,S2PC6,0.35,15,19,spread,E1 - Real 2017
44,S2PC8,Infeccion_Exitosa,S2PC7,0.35,6,20,spread,E1 - Real 2017
45,S1PC12,Infeccion_Exitosa,S1PC11,0.35,12,27,spread,E1 - Real 2017
45,S1PC13,Infeccion_Exitosa,S1PC12,0.35,12,28,spread,E1 - Real 2017
45,S2PC9,Infeccion_Exitosa,S2PC8,0.35,11,21,spread,E1 - Real 2017
46,S1PC10,Infeccion_Exitosa,S1PC9,0.35,7,22,spread,E1 - Real 2017
47,sw1,AISLADO,-,-,51,22,isolated,E1 - Real 2017
47,S2PC11,Infeccion_Exitosa,S2PC30,0.35,7,16,spread,E1 - Real 2017
49,S1PC4,Infeccion_Exitosa,S1PC3,0.35,6,16,spread,E1 - Real 2017
49,S2PC12,Infeccion_Exitosa,S2PC11,0.35,15,17,spread,E1 - Real 2017
49,S2PC33,Infeccion_Exitosa,S2PC12,0.35,12,18,spread,E1 - Real 2017
49,S2PC30,Infeccion_Exitosa,S2PC9,0.35,14,23,spread,E1 - Real 2017
49,S2PC11,Infeccion_Exitosa,S2PC30,0.35,10,24,spread,E1 - Real 2017
0,fw1,PARCHEO,-,-,23,1,patch,E1 - Real 2017
0,fw1,PARCHEO,-,-,17,1,patch,E1 - Real 2017
50,S2PC14,Infeccion_Exitosa,S2PC33,0.35,15,19,spread,E1 - Real 2017
50,S1PC14,Infeccion_Exitosa,S1PC13,0.35,7,29,spread,E1 - Real 2017
50,S2PC33,Infeccion_Exitosa,S2PC12,0.35,11,30,spread,E1 - Real 2017
1,fw1,PARCHEO,-,-,27,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,33,1,patch,E1 - Real 2017
51,S2PC12,Infeccion_Exitosa,S2PC11,0.35,14,25,spread,E1 - Real 2017
51,S2PC33,Infeccion_Exitosa,S2PC12,0.35,6,26,spread,E1 - Real 2017
2,fw1,PARCHEO,-,-,37,1,patch,E1 - Real 2017
2,fw1,PARCHEO,-,-,43,1,patch,E1 - Real 2017
52,S2PC35,Infeccion_Exitosa,S2PC14,0.35,7,20,spread,E1 - Real 2017
52,S2PC36,Infeccion_Exitosa,S2PC35,0.35,15,21,spread,E1 - Real 2017
3,fw1,PARCHEO,-,-,47,1,patch,E1 - Real 2017
3,fw1,PARCHEO,-,-,53,1,patch,E1 - Real 2017
3,fw1,Infeccion_Exitosa,internet,0.20370000000000002,53,2,spread,E1 - Real 2017
53,S1PC3,Infeccion_Exitosa,S1PC2,0.35,8,22,spread,E1 - Real 2017
53,S2PC14,Infeccion_Exitosa,S2PC33,0.35,11,27,spread,E1 - Real 2017
53,S2PC35,Infeccion_Exitosa,S2PC14,0.35,10,28,spread,E1 - Real 2017
4,fw1,PARCHEO,-,-,57,1,patch,E1 - Real 2017
4,sw1,PARCHEO,-,-,17,2,patch,E1 - Real 2017
54,S1PC15,Infeccion_Exitosa,S1PC14,0.35,13,31,spread,E1 - Real 2017
5,sw1,PARCHEO,-,-,27,2,patch,E1 - Real 2017
55,S2PC30,Infeccion_Exitosa,S2PC9,0.35,13,17,spread,E1 - Real 2017
55,S2PC36,Infeccion_Exitosa,S2PC35,0.35,12,29,spread,E1 - Real 2017
6,sw1,PARCHEO,-,-,37,2,patch,E1 - Real 2017
56,S1PC16,Infeccion_Exitosa,S1PC15,0.35,9,32,spread,E1 - Real 2017
56,S1PC17,Infeccion_Exitosa,S1PC16,0.35,15,33,spread,E1 - Real 2017
7,sw1,PARCHEO,-,-,47,2,patch,E1 - Real 2017
7,fw1,Infeccion_Exitosa,internet,0.1953,57,2,spread,E1 - Real 2017
7,sw1,Infeccion_Exitosa,fw1,0.24033333333333332,47,3,spread,E1 - Real 2017
57,-,ALERTA_CRITICA,-,-,-,33,-,E1 - Real 2017
57,S1PC1,AISLADO_EMERGENCIA,-,-,12,33,isolated,E1 - Real 2017
57,S1PC2,AISLADO_EMERGENCIA,-,-,10,33,isolated,E1 - Real 2017
57,S1PC3,AISLADO_EMERGENCIA,-,-,14,33,isolated,E1 - Real 2017
57,S1PC4,AISLADO_EMERGENCIA,-,-,14,33,isolated,E1 - Real 2017
57,S1PC5,AISLADO_EMERGENCIA,-,-,6,33,isolated,E1 - Real 2017
57,S1PC6,AISLADO_EMERGENCIA,-,-,5,33,isolated,E1 - Real 2017
57,S1PC7,AISLADO_EMERGENCIA,-,-,8,33,isolated,E1 - Real 2017
57,S1PC8,AISLADO_EMERGENCIA,-,-,9,33,isolated,E1 - Real 2017
57,S1PC9,AISLADO_EMERGENCIA,-,-,14,33,isolated,E1 - Real 2017
57,S1PC10,AISLADO_EMERGENCIA,-,-,10,33,isolated,E1 - Real 2017
57,S1PC11,AISLADO_EMERGENCIA,-,-,5,33,isolated,E1 - Real 2017
57,S1PC12,AISLADO_EMERGENCIA,-,-,12,33,isolated,E1 - Real 2017
57,S1PC13,AISLADO_EMERGENCIA,-,-,12,33,isolated,E1 - Real 2017
57,S1PC14,AISLADO_EMERGENCIA,-,-,7,33,isolated,E1 - Real 2017
57,S1PC15,AISLADO_EMERGENCIA,-,-,13,33,isolated,E1 - Real 2017
57,S1PC16,AISLADO_EMERGENCIA,-,-,9,33,isolated,E1 - Real 2017
57,S1PC17,AISLADO_EMERGENCIA,-,-,15,33,isolated,E1 - Real 2017
57,sw1,AISLADO_EMERGENCIA,-,-,51,33,isolated,E1 - Real 2017
57,fw1,AISLADO_EMERGENCIA,-,-,28,33,isolated,E1 - Real 2017
57,S1PC18,AISLADO_EMERGENCIA,-,-,7,33,isolated,E1 - Real 2017
57,S1PC19,AISLADO_EMERGENCIA,-,-,12,33,isolated,E1 - Real 2017
57,S1PC20,AISLADO_EMERGENCIA,-,-,5,33,isolated,E1 - Real 2017
57,S2PC1,AISLADO_EMERGENCIA,-,-,5,33,isolated,E1 - Real 2017
57,S2PC2,AISLADO_EMERGENCIA,-,-,7,33,isolated,E1 - Real 2017
57,S2PC3,AISLADO_EMERGENCIA,-,-,15,33,isolated,E1 - Real 2017
57,S2PC4,AISLADO_EMERGENCIA,-,-,7,33,isolated,E1 - Real 2017
57,S2PC5,AISLADO_EMERGENCIA,-,-,5,33,isolated,E1 - Real 2017
57,S2PC6,AISLADO_EMERGENCIA,-,-,14,33,isolated,E1 - Real 2017
57,S2PC7,AISLADO_EMERGENCIA,-,-,8,33,isolated,E1 - Real 2017
57,S2PC8,AISLADO_EMERGENCIA,-,-,6,33,isolated,E1 - Real 2017
57,S2PC9,AISLADO_EMERGENCIA,-,-,11,33,isolated,E1 - Real 2017
57,S2PC30,AISLADO_EMERGENCIA,-,-,5,33,isolated,E1 - Real 2017
57,S2PC11,AISLADO_EMERGENCIA,-,-,11,33,isolated,E1 - Real 2017
57,S2PC12,AISLADO_EMERGENCIA,-,-,10,33,isolated,E1 - Real 2017
57,S2PC33,AISLADO_EMERGENCIA,-,-,11,33,isolated,E1 - Real 2017
57,S2PC14,AISLADO_EMERGENCIA,-,-,6,33,isolated,E1 - Real 2017
57,S2PC35,AISLADO_EMERGENCIA,-,-,7,33,isolated,E1 - Real 2017
57,S2PC36,AISLADO_EMERGENCIA,-,-,15,33,isolated,E1 - Real 2017
8,sw1,PARCHEO,-,-,15,2,patch,E1 - Real 2017
58,S1PC5,Infeccion_Exitosa,S1PC4,0.35,8,18,spread,E1 - Real 2017
9,sw1,PARCHEO,-,-,25,2,patch,E1 - Real 2017
59,S1PC6,Infeccion_Exitosa,S1PC5,0.35,12,19,spread,E1 - Real 2017
59,S1PC11,Infeccion_Exitosa,S1PC10,0.35,5,30,spread,E1 - Real 2017
10,sw1,PARCHEO,-,-,35,2,patch,E1 - Real 2017
60,S1PC7,Infeccion_Exitosa,S1PC6,0.35,5,20,spread,E1 - Real 2017
60,S1PC8,Infeccion_Exitosa,S1PC7,0.35,14,21,spread,E1 - Real 2017
60,S1PC9,Infeccion_Exitosa,S1PC8,0.35,12,22,spread,E1 - Real 2017
11,sw1,PARCHEO,-,-,45,2,patch,E1 - Real 2017
11,sw1,Infeccion_Exitosa,fw1,0.24499999999999997,45,3,spread,E1 - Real 2017
61,S1PC10,Infeccion_Exitosa,S1PC9,0.35,8,23,spread,E1 - Real 2017
61,S1PC12,Infeccion_Exitosa,S1PC11,0.35,6,31,spread,E1 - Real 2017
62,S1PC1,Aislamiento_Contencion,Global,0.0,14,23,isolated,E1 - Real 2017
62,S1PC2,Aislamiento_Contencion,Global,0.0,5,23,isolated,E1 - Real 2017
62,S1PC3,Aislamiento_Contencion,Global,0.0,10,23,isolated,E1 - Real 2017
62,S1PC4,Aislamiento_Contencion,Global,0.0,6,23,isolated,E1 - Real 2017
62,S1PC5,Aislamiento_Contencion,Global,0.0,8,23,isolated,E1 - Real 2017
62,S1PC6,Aislamiento_Contencion,Global,0.0,12,23,isolated,E1 - Real 2017
62,S1PC7,Aislamiento_Contencion,Global,0.0,5,23,isolated,E1 - Real 2017
62,S1PC8,Aislamiento_Contencion,Global,0.0,14,23,isolated,E1 - Real 2017
62,S1PC9,Aislamiento_Contencion,Global,0.0,12,23,isolated,E1 - Real 2017
62,S1PC10,Aislamiento_Contencion,Global,0.0,8,23,isolated,E1 - Real 2017
62,sw1,Aislamiento_Contencion,Global,0.0,53,23,isolated,E1 - Real 2017
62,fw1,Aislamiento_Contencion,Global,0.0,19,23,isolated,E1 - Real 2017
62,S2PC1,Aislamiento_Contencion,Global,0.0,13,23,isolated,E1 - Real 2017
62,S2PC2,Aislamiento_Contencion,Global,0.0,7,23,isolated,E1 - Real 2017
62,S2PC3,Aislamiento_Contencion,Global,0.0,5,23,isolated,E1 - Real 2017
62,S2PC4,Aislamiento_Contencion,Global,0.0,8,23,isolated,E1 - Real 2017
62,S2PC5,Aislamiento_Contencion,Global,0.0,12,23,isolated,E1 - Real 2017
62,S2PC6,Aislamiento_Contencion,Global,0.0,8,23,isolated,E1 - Real 2017
62,S2PC7,Aislamiento_Contencion,Global,0.0,8,23,isolated,E1 - Real 2017
62,S2PC8,Aislamiento_Contencion,Global,0.0,10,23,isolated,E1 - Real 2017
62,S2PC9,Aislamiento_Contencion,Global,0.0,7,23,isolated,E1 - Real 2017
62,S2PC30,Aislamiento_Contencion,Global,0.0,13,23,isolated,E1 - Real 2017
15,S2PC1,Infeccion_Exitosa,sw1,0.35,8,4,spread,E1 - Real 2017
65,S1PC4,Infeccion_Exitosa,S1PC3,0.35,5,23,spread,E1 - Real 2017
65,S1PC5,Infeccion_Exitosa,S1PC4,0.35,12,24,spread,E1 - Real 2017
65,S1PC6,Infeccion_Exitosa,S1PC5,0.35,10,25,spread,E1 - Real 2017
16,S1PC1,Infeccion_Exitosa,sw1,0.35,7,4,spread,E1 - Real 2017
16,S2PC2,Infeccion_Exitosa,S2PC1,0.35,13,5,spread,E1 - Real 2017
17,S1PC1,Infeccion_Exitosa,sw1,0.35,11,6,spread,E1 - Real 2017
17,S2PC1,Infeccion_Exitosa,sw1,0.35,12,5,spread,E1 - Real 2017
18,S1PC2,Infeccion_Exitosa,S1PC1,0.35,6,6,spread,E1 - Real 2017
18,S2PC2,Infeccion_Exitosa,S2PC1,0.35,6,7,spread,E1 - Real 2017
68,S1PC7,Infeccion_Exitosa,S1PC6,0.35,11,26,spread,E1 - Real 2017
19,S1PC3,Infeccion_Exitosa,S1PC2,0.35,8,8,spread,E1 - Real 2017
19,sw1,AISLADO,-,-,45,6,isolated,E1 - Real 2017
19,sw1,AISLADO,-,-,47,8,isolated,E1 - Real 2017
20,S1PC2,Infeccion_Exitosa,S1PC1,0.35,15,7,spread,E1 - Real 2017
20,S2PC3,Infeccion_Exitosa,S2PC2,0.35,11,8,spread,E1 - Real 2017
71,S1PC13,Infeccion_Exitosa,S1PC12,0.35,12,32,spread,E1 - Real 2017
72,-,ALERTA_CRITICA,-,-,-,32,-,E1 - Real 2017
72,S1PC1,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S1PC2,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S1PC3,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
72,S1PC4,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S1PC5,AISLADO_EMERGENCIA,-,-,8,32,isolated,E1 - Real 2017
72,S1PC6,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S1PC7,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
72,S1PC8,AISLADO_EMERGENCIA,-,-,13,32,isolated,E1 - Real 2017
72,S1PC9,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
72,S1PC10,AISLADO_EMERGENCIA,-,-,7,32,isolated,E1 - Real 2017
72,S1PC11,AISLADO_EMERGENCIA,-,-,5,32,isolated,E1 - Real 2017
72,S1PC12,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
72,S1PC13,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
72,S1PC14,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
72,S1PC15,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
72,S1PC16,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S1PC17,AISLADO_EMERGENCIA,-,-,8,32,isolated,E1 - Real 2017
72,sw1,AISLADO_EMERGENCIA,-,-,51,32,isolated,E1 - Real 2017
72,fw1,AISLADO_EMERGENCIA,-,-,50,32,isolated,E1 - Real 2017
72,S1PC18,AISLADO_EMERGENCIA,-,-,5,32,isolated,E1 - Real 2017
72,S1PC19,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S1PC20,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
72,S2PC1,AISLADO_EMERGENCIA,-,-,11,32,isolated,E1 - Real 2017
72,S2PC2,AISLADO_EMERGENCIA,-,-,13,32,isolated,E1 - Real 2017
72,S2PC3,AISLADO_EMERGENCIA,-,-,9,32,isolated,E1 - Real 2017
72,S2PC4,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
72,S2PC5,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
72,S2PC6,AISLADO_EMERGENCIA,-,-,5,32,isolated,E1 - Real 2017
72,S2PC7,AISLADO_EMERGENCIA,-,-,15,32,isolated,E1 - Real 2017
72,S2PC8,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
72,S2PC9,AISLADO_EMERGENCIA,-,-,11,32,isolated,E1 - Real 2017
72,S2PC30,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
72,S2PC11,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
72,S2PC12,AISLADO_EMERGENCIA,-,-,14,32,isolated,E1 - Real 2017
72,S2PC33,AISLADO_EMERGENCIA,-,-,6,32,isolated,E1 - Real 2017
72,S2PC14,AISLADO_EMERGENCIA,-,-,11,32,isolated,E1 - Real 2017
72,S2PC35,AISLADO_EMERGENCIA,-,-,10,32,isolated,E1 - Real 2017
72,S2PC36,AISLADO_EMERGENCIA,-,-,12,32,isolated,E1 - Real 2017
23,S1PC3,Infeccion_Exitosa,S1PC2,0.35,14,9,spread,E1 - Real 2017
23,S1PC4,Infeccion_Exitosa,S1PC3,0.35,8,9,spread,E1 - Real 2017
24,S2PC3,Infeccion_Exitosa,S2PC2,0.35,6,10,spread,E1 - Real 2017
25,S1PC5,Infeccion_Exitosa,S1PC4,0.35,13,11,spread,E1 - Real 2017
26,S1PC4,Infeccion_Exitosa,S1PC3,0.35,6,10,spread,E1 - Real 2017
26,S1PC6,Infeccion_Exitosa,S1PC5,0.35,13,12,spread,E1 - Real 2017
26,S1PC5,Infeccion_Exitosa,S1PC4,0.35,13,11,spread,E1 - Real 2017
27,S2PC4,Infeccion_Exitosa,S2PC3,0.35,12,12,spread,E1 - Real 2017
78,S1PC8,Infeccion_Exitosa,S1PC7,0.35,10,27,spread,E1 - Real 2017
29,S2PC5,Infeccion_Exitosa,S2PC4,0.35,8,13,spread,E1 - Real 2017
80,S1PC9,Infeccion_Exitosa,S1PC8,0.35,8,28,spread,E1 - Real 2017
31,S1PC6,Infeccion_Exitosa,S1PC5,0.35,13,14,spread,E1 - Real 2017
81,S1PC1,Aislamiento_Contencion,Global,0.0,7,28,isolated,E1 - Real 2017
81,S1PC2,Aislamiento_Contencion,Global,0.0,13,28,isolated,E1 - Real 2017
81,S1PC3,Aislamiento_Contencion,Global,0.0,8,28,isolated,E1 - Real 2017
81,S1PC4,Aislamiento_Contencion,Global,0.0,5,28,isolated,E1 - Real 2017
81,S1PC5,Aislamiento_Contencion,Global,0.0,12,28,isolated,E1 - Real 2017
81,S1PC6,Aislamiento_Contencion,Global,0.0,10,28,isolated,E1 - Real 2017
81,S1PC7,Aislamiento_Contencion,Global,0.0,11,28,isolated,E1 - Real 2017
81,S1PC8,Aislamiento_Contencion,Global,0.0,10,28,isolated,E1 - Real 2017
81,S1PC9,Aislamiento_Contencion,Global,0.0,8,28,isolated,E1 - Real 2017
81,sw1,Aislamiento_Contencion,Global,0.0,55,28,isolated,E1 - Real 2017
81,fw1,Aislamiento_Contencion,Global,0.0,23,28,isolated,E1 - Real 2017
81,S2PC1,Aislamiento_Contencion,Global,0.0,10,28,isolated,E1 - Real 2017
81,S2PC2,Aislamiento_Contencion,Global,0.0,14,28,isolated,E1 - Real 2017
81,S2PC3,Aislamiento_Contencion,Global,0.0,7,28,isolated,E1 - Real 2017
81,S2PC4,Aislamiento_Contencion,Global,0.0,12,28,isolated,E1 - Real 2017
81,S2PC5,Aislamiento_Contencion,Global,0.0,6,28,isolated,E1 - Real 2017
81,S2PC6,Aislamiento_Contencion,Global,0.0,15,28,isolated,E1 - Real 2017
81,S2PC7,Aislamiento_Contencion,Global,0.0,12,28,isolated,E1 - Real 2017
81,S2PC8,Aislamiento_Contencion,Global,0.0,7,28,isolated,E1 - Real 2017
81,S2PC9,Aislamiento_Contencion,Global,0.0,6,28,isolated,E1 - Real 2017
81,S2PC30,Aislamiento_Contencion,Global,0.0,6,28,isolated,E1 - Real 2017
